CGId,CGCode,College Name,District ID,Pincode,Address
11087,"AK133","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR [AK133]",30,201306,"19, Knowledge Park-II, Institutional Area, Greater Noida - 201306"
10669,"AK908","NOIDA INSTITUTE OF ENGG. & TECHNOLOGY(PHARMACY INSTITUTE),GAUTAM BUDDH NAGAR [AK908]",30,201306,"19, Knowledge Park-II, Institutional Area, Greater Noida - 201306"
10908,"AK480","NORTH INDIA INSTITUTE OF TECHNOLOGY,BIJNAUR [AK480]",17,246763,"7th KM BUNDKI ROAD,NAJIBABAD"
11088,"AK1151","NOVA COLLEGE OF PHARMACY,LUCKNOW [AK1151]",49,,"KHASARA NO.-74,VILLAGE BHAISAURA,GOMTI NAGAR EXTENSION"
10960,"AK1044","OM SAI VINDHYA COLLEGE OF PHARMACY , MIRZAPUR [AK1044]",57,,"VILL- TISUHI, POST- MARIHAN, TAHSIL- MARIHAN, DIST- MIRZAPUR, PIN CODE- 231310"
28371,"AK1173","ONE BEAT COLLEGE OF MEDICAL SCIENCES [AK1173]",47,262901,"BHIRA, LAKHIMPUR KHERI"
11193,"AK984","ORLEAN COLLEGE OF PHARMACY , GAUTAM BUDDHA NAGAR [AK984]",30,,"PLOT NO 42 KNOWLEDGE PARK III NEAR SHARDA UNIVERSITY GREATER NOIDA"
10606,"AK389","OXFORD COLLEGE OF PHARMACY,GHAZIABAD [AK389]",31,201001,"3-KM STONE, MASOORIE - GULAWATHI ROAD, UPSIDC, INDUSTRIAL AREA, DISTRICT : HAPUR ( FORMERLY DISTRICT : GHAZIABAD ) U.P - 201015, INDIA"
10670,"AK1157","PAHALWAN GURUDEEN COLLEGE OF SCIENCE AND TECHNOLOGY,LALITPUR [AK1157]",48,,"PANARI LALITPUR"
10930,"AK487","PANCHWATI INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT [AK487]",56,250103,"Meerut-250103"
11236,"AK980","PARMARTH COLLEGE OF PHARMACY , GHAZIABAD [AK980]",31,,"ACHHEJA, NH - 24 HAPUR BYEPASS HAPUR, 49TH MILESTONE, DISTT- HAPUR, PIN-245101"
35618,"AK1221","PATHFINDER RESEARCH AND TRAINING FOUNDATION (PRTF) [AK1221]",30,201308,"GAUTAM BUDDHA NAGAR"
10865,"AK277","PETRONAGE INSTITUTE OF MANAGEMENT STUDIES,GREATER NOIDA,GAUTAM BUDDH NAGAR [AK277]",30,201308,"Plot no 38, knowledge park 3 ,Greater Noida - 201306"
10754,"AK1065","PHARMA DEPT SR FOUNDATION JEE COLLEGE OF EDUCATION AND TRAINING , UNNAO [AK1065]",74,,"CHAKJAMALPUR PURWA UNNAO"
11292,"AK12","PHARMCY COLLEGE,AZAMGARH [AK12]",6,276128,"Azamgarh-276128 UP"
27963,"1178","PMT COLLEGE OF PHARMCY [1178]",26,226031,"MAZRUDDINPUR, PARGANA[ FAIZABAD"
11158,"AK948","POINEER INSTITUTE OF PHARMACY , BAREILLY [AK948]",13,,"village padoli, bisalpur road, bhuta bareilly"
10866,"AK933","PRABHAKAR  COLLEGE OF PHARMACY  , AZAMGARH [AK933]",6,,"VILLAGE- MUYEEYA MAKDUMPUR"
11267,"AK419","PRABHAT ENGINEERING COLLEGE,KANPUR DEHAT [AK419]",43,209304,"N.H.-2, KALPI ROAD, RANIYA, BARA, KANPUR DEHAT-209304"
11004,"AK959","PRADUMAN SINGH SHIKSHAN PRASHIKSHAN SANSTHAN PHARMACY COLLEGE , BASTI [AK959]",14,,"VILLAGE-SANSARPUR, PARGANA-NAGAR PURAB, TEHSIL-BASTI SADAR, DISTRICT-BASTI"
27453,"1210","Pranveer Singh Institute of Technology (Pharmacy) [1210]",44,209305,"Bhauti, Kanpur Nagar"
10607,"AK164","PRANVEER SINGH INSTITUTE OF TECHNOLOGY,KANPUR [AK164]",44,209305,"Kanpur"
10755,"AK144","PRASAD INSTITUTE OF TECHNOLOGY,JAUNPUR [AK144]",38,222001,"Punch-Hatia, Sadar, Jaunpur - 222001"
10671,"AK456","PRATAP COLLEGE OF MANAGEMENT,FATEHPUR [AK456]",28,212663,"Sindhav Fatehpur"
11005,"AK964","PRATHVIRAJ CHAUHAN INSTITUTE OF MEDICAL SCIENCES , BIJNOR [AK964]",17,,"CHAKRAJMAL MORADABAD ROAD"
10833,"AK740","PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD [AK740]",3,212301,"Bendau,Karchana,Allahabad"
